headline,short_description,category
Are You Hard-Wired To Boil Over From Stress?,"Nobody wants to be that hothead who flies off the handle in the face of some everyday annoyance, causing others to roll their",WELLNESS
6 Healthy Carbs To Keep In Your Diet,"I've never been a fan of low-carb diets: Our bodies and our brains need carbohydrates to work effectively. Of course, not all carbohydrates are created equal. Here are six ""great"" carbs to keep in your diet.",HEALTHY LIVING
Finding Brown Fat In MRIs Is A Big Step For Obesity Research,A digitally-enhanced axial MRI of the upper chest (as if viewed from the feet). Areas of potential brown fat are shown in,HEALTHY LIVING
Doctor's Office Etiquette: While You Wait,We all know that doctors are often unable to meet their appointment times. The waiting room is called that for a reason. But you can make the wait more pleasant for yourself and others by following a few guidelines.,WELLNESS
"Laura Ingraham Feared More Violence After Jan. 6, Newly Released Text Message Shows",The Fox News personality messaged then-White House chief of staff Mark Meadows with some advice for Donald Trump a week after the insurrection.,POLITICS
Hurricane Harvey And The Potential Hypocrisy Of Texas Republicans,They opposed aid for victims of Hurricane Sandy. Now that it's their state in need...,POLITICS
Grimes Shocked By Faulty Stage Equipment During Performance In Dublin,But she's OK!,ENTERTAINMENT
Burnout's Silver Lining,"Had it not been for a move across the globe, I may not have made the changes that saved me from being consumed by my job and unhealthy lifestyle. Many of us need a slap upside the head in order to change. Otherwise we'd keep pushing forward in a steady state of burnout.",WELLNESS
Crisis Point,"When Republican Senator Trent Lott and Democrat Senator Tom Daschle, who have been on the opposite sides of the isle on almost every policy and law debated in the Senate, come together to write a book because they both agree we are at a crisis point, it is time to listen.",POLITICS
"A-Sides with Jon Chattman:""Breathe"" in You Me At Six","Josh Franceschi, Max Helyer, Chris Miller, Dan Flint, and Matt Barnes have had quite a run lately all over the globe. Their substantive single ""Room to Breathe"" is in the top 10 on rock radio, and they sold out Wembley Arena right out of the gate.",ENTERTAINMENT
What's In a Name: What Should Patients and Doctors Call Each Other?,"The doctor/patient relationship is highly personal and complex. The physician must maintain a professional rapport and the patient's dignity, respect the person's privacy, and convey an impression of competence.",HEALTHY LIVING
5 Tips For Hiring A New Year's Eve Babysitter (It's Not Too Late!),"Congratulations -- you not only made it through 2012, you were wise enough to make plans (child-free ones at that) to ring",PARENTING
White House To Tweak Birth Control Coverage Rule,nan,POLITICS
72 Hours in Dubai,"Dubai may be known for skyscrapers, shopping and fine dining, but there is a little something for everyone.",TRAVEL
"Kasich, FitzGerald Win Party Nominations",nan,POLITICS
5 Reasons We Love Jennifer Lawrence,"Another year older, another year amazing.",ENTERTAINMENT
Great Expectations = Great Disappointments,There are two sides to expectations. We have to manage our own expectations and we have to be aware of others' expectations of us. Disappointment is a two-way street.,WELLNESS
Germany's Summer Festivals,"August in Germany -- Frankfurt, Bad Nauheim and Kassel to be precise -- is a propitious, tourist-perfect time.",TRAVEL
You'll Never Guess Who Jennifer Lawrence Has A Crush On,Jennifer Lawrence is full of surprises — and few fans could've predicted the immensely likable actress's crush on curmudgeonly,ENTERTAINMENT
